sku,item,familia,unidade,origem,custo_unitario,preco_tabela,peso_unit_kg,lead_time_dias,lote_minimo_compra
PA-1001,Cantoneira Aluminio 20x20mm Natural 3m,Perfis de Acabamento,BR,Nacional,22.4,45.92,0.62,12,100
PA-1002,Cantoneira Aluminio 30x30mm Natural 3m,Perfis de Acabamento,BR,Nacional,31.8,63.6,0.94,12,100
PA-1010,Perfil L Arremate Porcelanato 8mm Anodizado 3m,Perfis de Acabamento,BR,Nacional,27.5,61.88,0.55,15,120
PA-1011,Perfil L Arremate Porcelanato 10mm Anodizado 3m,Perfis de Acabamento,BR,Nacional,30.1,67.73,0.61,15,120
PA-1020,Perfil T Junta Piso 12mm Escovado 3m,Perfis de Acabamento,BR,Nacional,38.9,81.69,0.78,18,100
PA-1030,"Perfil U Acabamento Drywall 12,5mm 3m",Perfis de Acabamento,BR,Nacional,19.6,45.08,0.48,10,150
PA-1040,Perfil Tabica Sombra Teto 25mm Branco 3m,Perfis de Acabamento,BR,Nacional,34.7,76.34,0.66,20,80
PA-1050,Perfil Arremate Curvo Champagne 3m,Perfis de Acabamento,BR,Importado,46.2,108.57,0.71,35,60
RD-2001,"Rodape Poliestireno 10cm Branco 2,40m",Rodapes e Roda-teto,BR,Nacional,24.3,52.24,1.1,9,120
RD-2002,"Rodape Poliestireno 15cm Branco 2,40m",Rodapes e Roda-teto,BR,Nacional,33.6,70.56,1.55,9,120
RD-2010,Rodape Aluminio Embutir 7cm Natural 3m,Rodapes e Roda-teto,BR,Nacional,62.5,128.12,1.24,22,60
RD-2011,Rodape Aluminio Embutir 10cm Preto Fosco 3m,Rodapes e Roda-teto,BR,Nacional,78.9,165.69,1.62,25,60
RD-2020,"Roda-teto Poliestireno 5cm Branco 2,00m",Rodapes e Roda-teto,BR,Nacional,14.8,34.04,0.52,9,150
RD-2030,Cantoneira de Emenda p/ Rodape (par),Rodapes e Roda-teto,CJ,Nacional,4.2,11.34,0.08,9,400
ND-3001,Nariz de Degrau Aluminio 45mm Natural 3m,Nariz de Degrau,BR,Nacional,41.7,89.66,0.92,16,80
ND-3002,Nariz de Degrau Aluminio c/ Borracha 55mm 3m,Nariz de Degrau,BR,Nacional,67.4,138.17,1.28,20,60
ND-3010,Fita Antiderrapante Autoadesiva 50mm x 30m,Nariz de Degrau,RL,Importado,58.3,139.92,1.05,14,50
JD-4001,Junta de Dilatacao PVC 10mm Cinza 3m,Juntas de Dilatacao,BR,Nacional,11.9,29.16,0.28,10,200
JD-4002,Junta de Dilatacao Aluminio 20mm 3m,Juntas de Dilatacao,BR,Nacional,49.6,104.16,0.88,18,80
JD-4010,Junta Estrutural Piso Industrial 30mm 3m,Juntas de Dilatacao,BR,Nacional,138.0,255.3,2.4,30,40
RG-5001,Ralo Linear Inox 50cm Tampa Oculta,Ralos e Grelhas,PC,Nacional,118.0,241.9,1.85,21,40
RG-5002,Ralo Linear Inox 70cm Tampa Oculta,Ralos e Grelhas,PC,Nacional,152.0,311.6,2.45,21,40
RG-5003,Ralo Linear Inox 90cm Tampa Oculta,Ralos e Grelhas,PC,Nacional,189.0,378.0,3.1,21,40
RG-5010,Grelha Linear Aluminio 100cm Anodizado,Ralos e Grelhas,PC,Importado,214.0,417.3,3.6,35,30
RG-5020,Ralo Quadrado Inox 15x15cm Click,Ralos e Grelhas,PC,Nacional,46.8,107.64,0.72,18,80
SP-6001,"Soleira Aluminio 15cm Natural 1,00m",Soleiras e Peitoris,PC,Nacional,58.4,122.64,1.35,20,50
SP-6002,"Peitoril Aluminio 20cm Branco 1,20m",Soleiras e Peitoris,PC,Nacional,86.2,172.4,2.05,24,40
SP-6010,Perfil Pingadeira Aluminio 25mm 3m,Soleiras e Peitoris,BR,Nacional,36.1,79.42,0.84,18,80
PX-7001,Perfil Puxador Gola Aluminio Preto 3m,Perfis Puxador,BR,Importado,72.3,162.67,1.42,28,50
PX-7002,Perfil Puxador Cava Aluminio Champagne 3m,Perfis Puxador,BR,Importado,81.5,187.45,1.55,32,50
AC-8001,Nivelador de Piso Cunha - Caixa 100un,Acessorios,CX,Nacional,38.6,98.43,1.2,8,200
AC-8002,"Nivelador de Piso Base 1,5mm - Caixa 500un",Acessorios,CX,Nacional,62.4,156.0,2.1,8,200
AC-8010,Espacador Plastico 2mm - Pacote 1000un,Acessorios,PC,Nacional,18.9,51.03,0.9,7,300
AC-8020,Rejunte Epoxi Acabamento 1kg,Acessorios,PC,Nacional,44.5,97.9,1.05,12,150
