id_linha,pedido,data_hora_venda,data,sku,pecas_vendidas,valor_da_peca,preco_tabela_unit,desconto_pct,receita_bruta,receita_liquida,custo_unitario,cmv,valor_do_frete,frete_cobrado_cliente,impostos_sobre_venda,lucro,total,canal,tipo_cliente,cliente_id,uf,regiao,modalidade_frete,peso_total_kg
1,PV-480005,2026-05-01 08:01:44,2026-05-01,PA-1010,3,56.38,61.88,0.0889,185.64,169.14,27.5,82.5,15.57,19.36,24.88,65.55,188.5,Televendas,Marmoraria / Instalador,MAR-00138,SP,Sudeste,CIF (empresa entrega),1.65
2,PV-480005,2026-05-01 08:01:44,2026-05-01,AC-8020-01,1,84.24,87.56,0.0379,87.56,84.24,38.27,38.27,6.94,8.62,12.26,35.39,92.86,Televendas,Marmoraria / Instalador,MAR-00138,SP,Sudeste,CIF (empresa entrega),0.735
3,PV-480005,2026-05-01 08:01:44,2026-05-01,PX-7002-01,1,194.61,214.44,0.0925,214.44,194.61,89.65,89.65,14.63,18.19,28.09,80.43,212.8,Televendas,Marmoraria / Instalador,MAR-00138,SP,Sudeste,CIF (empresa entrega),1.55
4,PV-480002,2026-05-01 09:11:25,2026-05-01,AC-8001,4,88.33,98.43,0.1026,393.72,353.32,38.6,154.4,25.0,29.17,45.13,157.96,382.49,Televendas,Marmoraria / Instalador,MAR-00051,SC,Sul,CIF (empresa entrega),4.8
5,PV-480002,2026-05-01 09:11:25,2026-05-01,PX-7001,1,150.42,162.67,0.0753,162.67,150.42,72.3,72.3,7.39,8.63,18.77,60.59,159.05,Televendas,Marmoraria / Instalador,MAR-00051,SC,Sul,CIF (empresa entrega),1.42
6,PV-480002,2026-05-01 09:11:25,2026-05-01,PA-1001,5,40.89,45.92,0.1096,229.6,204.45,22.4,112.0,16.14,18.84,26.35,68.8,223.29,Televendas,Marmoraria / Instalador,MAR-00051,SC,Sul,CIF (empresa entrega),3.1
7,PV-480002,2026-05-01 09:11:25,2026-05-01,AC-8040,2,39.73,45.1,0.119,90.2,79.46,16.4,32.8,6.77,7.9,10.31,37.48,87.36,Televendas,Marmoraria / Instalador,MAR-00051,SC,Sul,CIF (empresa entrega),1.3
8,PV-480002,2026-05-01 09:11:25,2026-05-01,AC-8001-01,2,79.1,88.05,0.1016,176.1,158.2,33.2,66.4,8.75,10.21,19.87,73.39,168.41,Televendas,Marmoraria / Instalador,MAR-00051,SC,Sul,CIF (empresa entrega),1.68
9,PV-480002,2026-05-01 09:11:25,2026-05-01,PA-1011,1,62.24,67.73,0.0811,67.73,62.24,30.1,30.1,3.18,3.71,7.78,24.89,65.95,Televendas,Marmoraria / Instalador,MAR-00051,SC,Sul,CIF (empresa entrega),0.61
10,PV-480001,2026-05-01 09:15:03,2026-05-01,PA-1030-01,1,48.85,52.5,0.0695,52.5,48.85,21.95,21.95,5.9,7.11,7.39,20.72,55.96,Representante,Consumidor Final,CON-00758,SP,Sudeste,CIF (empresa entrega),0.48
11,PV-480001,2026-05-01 09:15:03,2026-05-01,PA-1002-02,1,83.81,83.81,0.0,83.81,83.81,38.8,38.8,11.56,13.92,12.9,34.47,97.73,Representante,Consumidor Final,CON-00758,SP,Sudeste,CIF (empresa entrega),0.94
12,PV-480001,2026-05-01 09:15:03,2026-05-01,PA-1010,2,60.39,61.88,0.024,123.76,120.78,27.5,55.0,13.52,16.28,18.09,50.45,137.06,Representante,Consumidor Final,CON-00758,SP,Sudeste,CIF (empresa entrega),1.1
13,PV-480001,2026-05-01 09:15:03,2026-05-01,AC-8040,1,43.87,45.1,0.0273,45.1,43.87,16.4,16.4,7.99,9.62,7.06,22.04,53.49,Representante,Consumidor Final,CON-00758,SP,Sudeste,CIF (empresa entrega),0.65
14,PV-480004,2026-05-01 10:03:00,2026-05-01,ND-3010,1,121.74,139.92,0.1299,139.92,121.74,58.3,58.3,16.75,17.83,18.42,46.1,139.57,Balcao,Marmoraria / Instalador,MAR-00091,SP,Sudeste,CIF (empresa entrega),1.05
15,PV-480004,2026-05-01 10:03:00,2026-05-01,RD-2002,1,65.31,70.56,0.0745,70.56,65.31,33.6,33.6,24.73,26.33,12.1,21.21,91.64,Balcao,Marmoraria / Instalador,MAR-00091,SP,Sudeste,CIF (empresa entrega),1.55
16,PV-480006,2026-05-01 11:07:47,2026-05-01,ND-3001,1,85.9,89.66,0.0419,89.66,85.9,41.7,41.7,24.48,28.85,15.15,33.42,114.75,E-commerce,Consumidor Final,CON-01352,SP,Sudeste,CIF (empresa entrega),0.92
17,PV-480006,2026-05-01 11:07:47,2026-05-01,PA-1010,1,60.98,61.88,0.0145,61.88,60.98,27.5,27.5,14.64,17.24,10.33,25.75,78.22,E-commerce,Consumidor Final,CON-01352,SP,Sudeste,CIF (empresa entrega),0.55
18,PV-480003,2026-05-01 11:08:41,2026-05-01,JD-4010-01,1,258.86,281.44,0.0802,281.44,258.86,146.28,146.28,19.38,19.4,32.83,79.77,278.26,Representante,Marmoraria / Instalador,MAR-00239,SC,Sul,CIF (empresa entrega),2.4
19,PV-480003,2026-05-01 11:08:41,2026-05-01,AC-8002,1,151.17,156.0,0.031,156.0,151.17,62.4,62.4,16.95,16.97,19.84,68.95,168.14,Representante,Marmoraria / Instalador,MAR-00239,SC,Sul,CIF (empresa entrega),2.1
